Species,grassland,site,grass.forb.shrub,photosynthesis,annual.perennial,max.height (mm),root.diameter (mm),SRL (m g-1),root.tissue.density (cm3 g-1),root.nitrogen.content (%),SLA (cm2 g-1),LDMC (g g-1),Leaf.tissue.density (cm3 g-1),Leaf.area (cm2),tugor.loss.point (Mpa),leaf.nitrogen.content (%),author_location.primary,relation.to.EDGE.primary,author_location.secondary,relation.to.EDGE.secondary,author_location.tertiary,relation.to.EDGE.tertiary
Machaerantherapinnatifida,southern mixedgrass,HYS,F,C3,Perennial,NA,NA,NA,NA,NA,NA,0.365723939,NA,NA,NA,NA,AS_KS,local,NA,NA,NA,NA
Medicagolupulina,southern mixedgrass,HYS,F,C3,Annual,41.40291,0.215,303.5787,0.1045,3.2291685,182.43243,0.19152005,0.3915344,7.48,NA,NA,TRY_KS,regional,NA,NA,NA,NA
Melilotusofficinalis,southern mixedgrass,HYS,F,C3,Biennial,134.6,NA,NA,NA,NA,132.33083,0.2376667,0.2906469,NA,NA,NA,TRY_KS,regional,NA,NA,NA,NA
Opuntiapolyacantha,southern mixedgrass,HYS,S,C3,Perennial,60.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oxalisstricta,southern mixedgrass,HYS,F,C3,Perennial,29.30083,NA,NA,NA,NA,255.10204,0.169414116,0.28,8.438333,NA,NA,AS_KS,local,NA,NA,NA,NA
Pascopyrumsmithii,southern mixedgrass,HYS,G,C3,Perennial,37.07833333,0.195,122.15,0.285,1.004,52.67848466,0.455234911,0.46392425,7.28583335,-2.584984914,2.1925,AS_KS,local,ST_KS,regional,NA,NA
Plantagopatagonica,southern mixedgrass,HYS,F,C3,Annual,11.88675,0.168471429,264.2943584,NA,1.25,118.4989024,0.239156986,NA,1.421875,-0.69552658,1.6745,NA,NA,NA,NA,NA,NA
Poapratensis,southern mixedgrass,HYS,G,C3,Perennial,43.339,NA,652.0816,0.116875,0.8149322,223.21429,0.3044245,0.3409091,4.3356409,NA,NA,TRY_KS,regional,NA,NA,NA,NA
Psoraleatenuiflora,southern mixedgrass,HYS,F,C3,Perennial,NA,0.3176333,34.26263,0.4262845,NA,100.06946,NA,0.3569595,NA,NA,NA,TRY_KS,regional,NA,NA,NA,NA
Ratibidacolumnifera,southern mixedgrass,HYS,F,C3,Perennial,94.488,0.204666667,128.4495034,0.278333333,NA,111.3554043,0.212333434,0.2941176,NA,-1.92912608,NA,AS_KS,local,NA,NA,NA,NA
